,DataYear,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,ENERGYSTARQuintile,ENERGYSTARScore
1497,2016,NonResidential,Office,1992.0,1.0,1153218.0,53.3,53.9,167.3,169.3,61449369.4,61449369.4,6267428.2,11326.4,9.8,41.88651883,-87.630542,quin4,85.0
1498,2016,NonResidential,Office,1990.0,1.0,1082248.0,70.7,82.7,221.9,156.05,76522091.8,76452001.6,6267428.2,14096.9,13.0,41.88158551,-87.63338486,quin3,74.0
1499,2016,NonResidential,Office,1983.0,1.0,2054590.0,68.7,68.7,214.0,214.0,182972466.39999998,124794002.0,2207050.5,28903.4,12.6,41.8816073,-87.63751717,quin3,77.0
1500,2016,NonResidential,Hotel,1974.0,2.0,1991850.0,99.9,103.4,191.2,193.4,199040776.5,82222376.0,107807279.3,21360.1,10.7,41.88770297,-87.62267404,quin2,58.0
1501,2016,NonResidential,Office,1918.0,1.0,979270.0,92.3,95.3,235.2,238.2,90408705.5,64759009.4,25649696.1,13298.8,13.6,41.883824700000005,-87.6393572,quin4,90.0
1502,2016,NonResidential,Office,1982.0,1.0,1012961.0,53.2,53.2,166.9,166.9,53903540.7,53800040.7,6267428.2,9924.2,9.8,41.88609655,-87.63591682,quin4,87.0
1503,2016,NonResidential,Office,1982.0,1.0,1001834.0,56.3,58.7,176.8,184.4,56406604.0,56406604.0,6267428.2,10396.9,10.4,41.88234782,-87.63436490000001,quin4,83.0
1504,2016,NonResidential,Office,1980.0,1.0,899237.0,45.2,46.6,142.0,146.3,40653502.3,40653502.3,6267428.2,7493.3,8.3,41.88038865,-87.6298223,quin4,91.0
1505,2016,NonResidential,Office,1989.0,1.0,721992.0,46.5,47.6,145.9,149.6,33541976.5,33541976.5,6267428.2,6182.5,8.6,41.88628574,-87.63508062,quin4,92.0
1506,2016,NonResidential,Office,1969.0,1.0,622883.0,80.7,83.8,190.7,191.9,50271688.7,31565770.0,18705918.7,6811.8,10.9,41.89221623,-87.61971658,quin3,77.0
1507,2016,NonResidential,Office,1979.0,1.0,1015129.0,61.0,61.8,191.2,193.7,61935252.8,61753037.4,182215.4,11392.1,11.2,41.88729474,-87.62026142,quin4,95.0
1508,2016,NonResidential,Office,1968.0,1.0,976496.0,86.4,91.1,152.6,159.3,84389255.0,29318275.3,36747346.1,1389.25,8.6,41.88411639,-87.63478478,quin4,88.0
1509,2016,NonResidential,Office,1981.0,1.0,874000.0,65.6,68.2,205.8,214.1,57291779.1,57291779.1,6267428.2,10560.1,12.1,41.87902474,-87.63734431,quin3,73.0
1510,2016,NonResidential,Office,1981.0,1.0,2054590.0,57.6,58.7,180.7,184.0,118666445.9,118455018.2,211427.7,21845.0,10.6,41.88603179,-87.62354823,quin4,81.0
1511,2016,NonResidential,Office,1965.0,1.0,878884.0,101.4,101.9,177.1,177.5,89159592.3,29661297.3,59498295.0,8627.4,9.8,41.88961452,-87.62297649,quin4,81.0
1512,2016,NonResidential,Office,1884.0,1.0,246000.0,60.0,66.7,94.9,101.5,14747955.5,3764118.4,10983837.1,1277.2,5.2,41.87645683,-87.62485929,quin4,94.0
1513,2016,NonResidential,Office,1902.0,1.0,1046276.0,65.6,66.4,164.8,170.3,68646859.2,48472134.4,89371.6,9997.7,9.6,41.88234218,-87.62866439,quin4,83.0
1514,2016,NonResidential,Office,1984.0,1.0,733118.0,49.9,52.0,156.5,163.0,36590924.5,36528360.2,89371.6,6736.3,9.2,41.88483521,-87.62496769,quin4,83.0
1515,2016,Multifamily Housing,Multifamily Housing,1916.0,1.0,50986.0,78.9,85.3,103.6,109.5,4025219.1,505115.9,3520103.2,280.1,5.5,41.97223008,-87.6645957,quin3,69.0
1516,2016,NonResidential,Office,1914.0,1.0,700059.0,62.6,65.9,137.8,140.1,43841897.7,24145352.4,19696545.3,5496.7,7.9,41.88322343,-87.63144072,quin4,91.0
1517,2016,NonResidential,Office,2002.0,1.0,454346.0,80.0,80.4,247.5,248.9,36329563.8,35556963.8,772600.0,6594.9,14.5,41.88030693,-87.64186748,quin3,77.0
1518,2016,NonResidential,Office,1991.0,1.0,716245.0,52.4,53.9,164.4,169.2,37500655.5,37484095.5,6267428.2,6910.3,9.6,41.88230828,-87.6349623,quin4,87.0
1519,2016,NonResidential,Office,1970.0,1.0,661535.0,86.7,89.6,182.3,183.5,57383786.8,28880891.1,28502895.7,6837.3,10.3,41.88100752,-87.63490659,quin3,76.0
1520,2016,NonResidential,Office,2003.0,1.0,778325.0,53.8,54.5,168.8,171.0,41840195.9,41840195.9,6267428.2,7712.0,9.9,41.88538256,-87.63643849,quin4,88.0
1521,2016,NonResidential,Office,1966.0,1.0,787045.0,56.0,58.6,138.5,141.2,44098191.5,29999440.2,14098751.3,6278.4,8.0,41.87996528,-87.63907767,quin4,96.0
1522,2016,NonResidential,Office,1910.0,1.0,512369.0,144.2,151.9,249.1,257.3,73896311.3,24192008.1,39027399.0,7094.7,13.8,41.87991058,-87.62493152,quin2,55.0
1523,2016,NonResidential,Office,1985.0,1.0,789024.0,45.2,45.7,142.1,143.6,35696514.6,35696514.6,6267428.2,6579.6,8.3,41.87975177,-87.63414051,quin4,91.0
1524,2016,NonResidential,Office,1973.0,1.0,699446.5,66.0,68.4,201.4,208.6,46192391.8,44200412.8,1991979.0,8252.9,11.8,41.8810266,-87.63432282,quin3,73.0
1525,2016,NonResidential,Office,1962.0,1.0,688275.0,68.7,73.0,131.4,133.5,47317648.0,19498989.7,27818658.3,5071.7,7.4,41.88653035,-87.62754249,quin4,95.0
1526,2016,NonResidential,Hotel,1972.0,1.0,359801.0,129.2,133.2,265.0,268.7,46492708.8,22269714.6,24222994.2,5391.4,15.0,41.89521657,-87.62317404,quin1,28.0
1527,2016,NonResidential,Hotel,1990.0,1.0,1158300.0,106.2,106.8,277.2,279.1,122994455.0,91828554.9,31165900.1,18581.3,16.0,41.88916695,-87.61943672,quin1,27.0
1528,2016,NonResidential,Office,1964.0,1.0,787045.0,69.2,72.6,162.0,165.5,54487229.7,33619630.2,20867599.5,7305.2,9.3,41.88124095,-87.63911942,quin4,91.0
