,DataYear_2014,DataYear_2015,DataYear_2016,BuildingType_Campus,BuildingType_Multifamily Housing,BuildingType_NonResidential,PrimaryPropertyType_Bank Branch,PrimaryPropertyType_Courthouse,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Financial Office,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Multifamily Housing,PrimaryPropertyType_Office,PrimaryPropertyType_Residence Hall/Dormitory,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Supermarket/Grocery Store,PrimaryPropertyType_Wholesale Club/Supercenter,PrimaryPropertyType_Worship Facility,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,ENERGYSTARQuintile,ENERGYSTARScore
1926,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7901798384512423,-0.06363862489939465,-1.166932896835952,-3.322389848737729,-3.4217841279412307,-2.9448916752313608,-2.9492375127541863,-1.9672366449519625,-1.6362044291654414,-0.04844109688272877,-1.8553225130149436,-2.74566253993811,-0.9443075601508367,0.8625617203968053,quin4,100.0
1927,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6801807639085733,-0.06363862489939465,-1.359214080276861,-0.3136533511107458,-0.2687712295589661,-0.6099524341258312,-0.5956129655088915,-1.3586532041849002,-1.308587325483026,-0.8689114814138326,-1.418339038094672,-0.6660543404173112,-0.9443075601508367,0.8625617203968053,quin4,85.0
1928,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5976814580015715,-0.06363862489939465,-0.7165790084011768,-0.8477981303174483,-0.7465878675176914,0.19355965139859957,0.33792864318460253,-1.0103071966531587,-0.09584367349210048,-0.04844109688272877,-0.48847793915593624,0.24083682041452212,-0.9443075601508367,0.8625617203968053,quin0,1.0
1929,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.28231113833978094,-0.06363862489939465,-0.5659856252274021,1.0266693075906486,1.1446636507987809,-0.05442616692270125,0.05138716317091979,-0.0670968656831717,-1.3828447432587203,0.5530072759802109,-0.5727856853864702,-0.23816985358945664,-0.5666200596882475,0.49628628677963577,quin2,43.0
1930,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0376777561722477,-0.06363862489939465,-1.149732899153097,1.5213670145978888,1.551355282513537,1.2564573891251594,1.2693814153905891,-0.37884231958291387,-0.3948955066116124,-0.04202456641167793,-0.45093071171229776,1.144474049171776,-0.22124441630680428,0.5620978759419754,quin1,32.0
1931,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9001789129939114,-0.06363862489939465,-1.2025143515381986,0.989292462295125,0.8706677131478618,0.8748436460896482,0.795005071286429,-0.6557451223220809,-0.513365231179319,-0.36588215538359264,-0.6489338419370032,0.7895536049260856,-0.5666200596882475,0.49628628677963577,quin2,45.0
1932,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.175176599350584,-0.06363862489939465,-0.4965576095746551,0.2305794152383636,0.22480377010997,0.19977339211674958,0.15794136482108367,-0.3479530598706868,-0.2239243288397051,-0.11664519711752287,-0.34126864783561617,0.15788325581472024,-0.5666200596882475,0.49628628677963577,quin2,46.0
1933,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9826782189009131,-0.06363862489939465,-0.9985119130485689,0.3002250979804848,0.33229398006722416,0.05334785331602213,0.05271865323691321,-0.7692678158415175,-0.7514808053285796,-0.3741031215348427,-0.8331029584011611,-0.018930835874149794,-0.22124441630680428,0.5620978759419754,quin2,46.0
1934,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9001789129939114,-0.06363862489939465,-1.1343925866273805,1.0142801953050997,1.0434745929641185,0.8439704978335417,0.8491461651836973,-0.5838963293578607,-0.5004612351895315,-0.2678144611438873,-0.6078541517213052,0.7582902167988788,-0.03918103407024089,-1.381281866751088,quin1,31.0
1935,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8451793757225768,-0.06363862489939465,-0.3827175273452313,-2.3207869235781584,-2.274299536247697,-2.504629082728573,-2.534504339313722,-1.3445483639682427,-1.2858939987034723,-0.8616244349373097,-1.399749961558053,-2.4965247953155223,-0.03918103407024089,-1.381281866751088,quin4,100.0
1936,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8451793757225768,-0.06363862489939465,-1.0849390008346267,-0.33963936147749346,-0.2779437381770694,-0.7511218240042365,-0.725048834187313,-1.1225878763230888,-1.2361373402080642,-0.6021332647701214,-1.2553708221303244,-0.8313551993453929,0.28082506776604255,-0.5955892235955514,quin3,74.0
1937,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0101779875365804,-0.06363862489939465,-1.008005270373551,-0.6251731128077597,-0.6145558193341085,-0.310023968472902,-0.3514179041238403,-1.1771987711880056,-0.6726308389643251,-1.1195396049195006,-0.9686451657291476,-0.31684084516820615,0.24464498651507283,-0.05215125016025636,quin3,77.0
1938,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.2026763679862513,0.10395063640150229,-0.8065588381662011,-0.031989574488115576,0.03330978633388962,0.2645390071892018,0.36460543037487836,-0.7400045950955515,-0.27603991089870694,-0.7843658455495276,-0.5667075209212108,0.2204137324622793,0.557034700706568,-0.9408365214608313,quin1,30.0
1939,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9276786816295787,-0.06363862489939465,-1.186328666292668,0.481190199709353,0.5329168612855052,0.1213999268924752,0.14777332037659138,-0.8606059372848409,-0.9255870622989529,-0.4059687733576288,-0.9674968533353142,0.026735808335034788,0.5517142498518395,-2.0472291929045574,quin2,43.0
1940,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.21268469710222979,-0.06363862489939465,-0.7172974863004188,-0.7513250931738936,-0.739044655589796,-1.097234330318825,-1.1372149900340542,-0.9696920846855,-1.0617269771420754,-0.48384096712007224,-1.090933099162501,-1.1274532779385968,0.5758509293391756,0.009033565955566425,quin4,96.0
1941,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4876823834589024,-0.06363862489939465,-0.724244939231658,-0.4917688032443536,-0.49663231084612597,-0.2693462128632951,-0.2866396136860022,-0.8638730197678995,-0.4786462157092702,-0.7520501917722037,-0.7182412497685056,-0.29027732774346954,1.0538485428070352,-0.14097824588174349,quin2,51.0
1942,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5701816893659042,-0.06363862489939465,-1.2764752258858258,-0.2784124180905072,-0.2565994432370908,-0.12849076560110195,-0.07615818656090954,-1.268708141884277,-0.8556382795726309,-1.0656147697814442,-1.1235454897634507,-0.13779981610975442,1.323569821046698,-0.95746528432072,quin2,54.0
1943,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.955178450265246,-0.06363862489939465,-0.8424679848970852,0.2879476440111975,0.33229398006722416,-0.2724476068811952,-0.2603377317388658,-0.6340970611681525,-0.9712403111107069,-0.11210770690159051,-0.8585501567380776,-0.37103286060233287,1.3224019172005639,-2.0755598502710884,quin3,70.0
