,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,DataYear_2014,DataYear_2015,DataYear_2016,BuildingType_Campus,BuildingType_Multifamily Housing,BuildingType_NonResidential,PrimaryPropertyType_Bank Branch,PrimaryPropertyType_Courthouse,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Financial Office,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Multifamily Housing,PrimaryPropertyType_Office,PrimaryPropertyType_Residence Hall/Dormitory,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Supermarket/Grocery Store,PrimaryPropertyType_Wholesale Club/Supercenter,PrimaryPropertyType_Worship Facility
3451,-0.9501267070616335,-0.1859171842970881,-0.5588102947480537,-0.5452756132255477,-0.5119711946211872,0.14704677611092618,0.25919839353688007,-0.5613062066067038,-0.3511463830901067,-0.6957239743229687,-0.43973023034890235,0.16708131979482085,0.23742018332867051,0.3895252521691385,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3452,-1.0331150410511059,-0.1859171842970881,-0.48877638593001443,0.13487189279135584,0.28716092166955504,-0.4771292206020996,-0.40172244919075845,-0.41347196678863507,-0.5280204728219713,-0.14801192661688,-0.4869714890625534,-0.5565412790361736,1.3546688708344852,0.06966514550868343,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3453,-0.9501267070616335,-0.1859171842970881,-0.3766521908027487,0.0437410178021627,0.13609211064472998,-0.32870952105796003,-0.30232815191233847,-0.3251950940979356,-0.43651963859403636,-0.07987800802531006,-0.3995411018588328,-0.38825695372663993,0.376560520750079,0.5970871133626015,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3454,-0.17556892315989137,1.3810385831271168,-0.6640387425921513,-0.5563891345656933,-0.5360546282628259,-0.27381456369231927,-0.2531433450116769,-0.6294712898591229,-0.5031291994673134,-0.6415069443075455,-0.5554292418295363,-0.2704579260099664,-1.3443804237238897,-0.3078035117215074,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3455,-0.28622003514585453,6.081905885399731,-0.36851061912927763,-0.011826588898564706,0.144849722878053,-0.5777699757724409,-0.5021414299462758,-0.32911383717073084,-0.5113028370715408,0.009993002925769108,-0.4447588800253766,-0.6406834416909403,-2.441025034108003,0.0004023159387341249,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3456,-0.03725503317743742,-0.1859171842970881,-0.6786553226099601,-0.00515847609447748,0.09011464641978298,-0.2849968698223571,-0.24289651024070577,-0.603150687273323,-0.5428257668935276,-0.53321306116743,-0.568531779233577,-0.3377716561337799,-2.4567599971300766,-0.033806327676929114,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3457,-1.1714289310335597,1.3810385831271168,-0.6135391416483799,1.4084814383720274,1.318369762143362,1.181918379781708,1.1189078308213585,-0.4117175895868579,-0.3884893092495829,-0.32754954800355796,-0.40470999276134423,1.0421598114043957,-2.0387421684036613,-0.28855125782753493,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3458,-0.1479061451634006,-0.1859171842970881,-0.6729152413730599,-0.0207174059706809,0.024432554669858962,-0.08981479918896808,-0.08304588781355604,-0.5991360706937696,-0.5171972391472157,-0.5583127274601325,-0.5520033490220578,-0.1358304657623394,-2.0831295845416724,-0.7857116779847663,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3459,0.7649655287207955,-0.1859171842970881,-0.5597391988987181,1.761891416988654,1.7453033585178683,1.1117748231478342,1.1055869456190959,-0.2872761144374064,-0.3810052286674982,-0.0719046751340865,-0.3525202222146686,0.9411892162186752,0.22565061383742024,0.6045828595392134,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3460,0.6819771947313231,-0.1859171842970881,-0.33677214995789734,0.3438060939860907,0.3616006256528024,0.11654957757445912,0.11779207369747823,-0.22267880468808168,-0.30857842322804985,-0.029232659671079016,-0.28534467494288235,0.032453859547194173,0.2442627464707873,0.6909160373173493,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
